지번주소,좌표정보,좌표정보,콘텐츠 명
서울특별시 용산구 한강로3가 40-999번지 용산역,126.9654886,37.5291285,용산역 아이파크몰
서울특별시 용산구 한강로3가 40-999번지 용산역,126.9654886,37.5291285,용산역 아이파크몰
서울특별시 용산구 한강로3가 40-999번지 용산역,126.9654886,37.5291285,용산역 아이파크몰
서울특별시 은평구 녹번동 28-62번지,126.9340726,37.60542047,서대문은평지사
서울특별시 마포구 성산동 420번지 월드컵경기장역,126.8989571,37.56924062,상암월드컵경기장
서울특별시 마포구 성산동 420번지 월드컵경기장역,126.8989571,37.56924062,상암월드컵경기장
서울특별시 마포구 성산동 420번지 월드컵경기장역,126.8989571,37.56924062,상암월드컵경기장
서울특별시 마포구 성산동 420번지 월드컵경기장역,126.8989571,37.56924062,상암월드컵경기장
서울특별시 마포구 성산동 420번지 월드컵경기장역,126.8989571,37.56924062,상암월드컵경기장
서울특별시 마포구 성산동 420번지 월드컵경기장역,126.8989571,37.56924062,상암월드컵경기장
서울특별시 마포구 성산동 420번지 월드컵경기장역,126.8989571,37.56924062,상암월드컵경기장
서울특별시 중구 태평로1가 31번지 서울시청,126.9777063,37.56620502,서울시청
서울특별시 중구 태평로1가 31번지 서울시청,126.9777063,37.56620502,서울시청
서울특별시 은평구 응암동 580-4번지 응암공영주차장 응암공영주차장,126.9151421,37.59345186,응암3동 공영주차장
서울특별시 동대문구 회기동 1-1번지,127.0559598,37.59136491,회기동 공영주차장
서울특별시 동대문구 회기동 1-1번지,127.0559598,37.59136491,회기동 공영주차장
서울특별시 중랑구 면목동 1081-1번지,127.0938403,37.58081301,면목3동 공영주차장
서울특별시 도봉구 창동 303번지 도봉구민회관,127.0383437,37.65417091,도봉구민회관
서울특별시 도봉구 방학동 720번지 도봉구청,127.0470068,37.66870173,도봉구청
서울특별시 성북구 안암동5가 1-14번지,127.0324166,37.58657899,고려대학교
서울특별시 성북구 안암동5가 1-14번지,127.0324166,37.58657899,고려대학교
서울특별시 성북구 안암동5가 1-14번지,127.0324166,37.58657899,고려대학교(자연과학)
서울특별시 은평구 녹번동 153-1번지,126.9231133,37.60505609,은평평화공원 공영주차장
서울특별시 광진구 자양동 510-8번지,127.0694229,37.53612659,뚝도변전소
서울특별시 광진구 자양동 510-8번지,127.0694229,37.53612659,뚝도변전소
서울특별시 구로구 고척동  산 9-14번지 구로구민체육센터,126.8535592,37.50649221,고척근린공원 지하주차장
서울특별시 금천구 가산동 569-21번지 대륭테크노타운2차,126.8845898,37.46861313,지식산업센터(대륭테크노타운2차)
서울특별시 금천구 시흥동 1020번지 금천구종합청사,126.8955073,37.45644066,금천구청 지하1층 주차장
서울특별시 구로구 구로동 435번지 구로구청,126.8879716,37.49502589,구로구청 주차장
서울특별시 송파구 가락동 600번지 가락동농수산물도매시장,127.1107532,37.49602466,가락시장
서울특별시 송파구 가락동 600번지 가락동농수산물도매시장,127.1107532,37.49602466,가락시장
서울특별시 송파구 가락동 600번지 가락동농수산물도매시장,127.1107532,37.49602466,가락시장
서울특별시 강동구 명일동 312-250번지 명일동공영주차장,127.1426858,37.55098641,명일동 공영주차장
서울특별시 강동구 명일동 312-250번지 명일동공영주차장,127.1426858,37.55098641,명일동 공영주차장
서울특별시 강동구 천호동 87-26번지 천호동노외주차장,127.1366153,37.5449104,천호1동 공영주차장
서울특별시 강동구 천호동 87-26번지 천호동노외주차장,127.1366153,37.5449104,천호1동 공영주차장
서울특별시 강동구 천호동 455-8번지 현대백화점,127.1240538,37.53882626,현대백화점 천호점
서울특별시 강동구 천호동 455-8번지 현대백화점,127.1240538,37.53882626,현대백화점 천호점
서울특별시 강동구 천호동 455-8번지 현대백화점,127.1240538,37.53882626,현대백화점 천호점
서울특별시 중구 을지로7가 2-1번지,127.0095548,37.56605397,동대문디자인플라자
서울특별시 중구 을지로7가 2-1번지,127.0095548,37.56605397,동대문디자인플라자
서울특별시 종로구 소격동 165번지,126.9798893,37.57854096,국립현대미술관 서울관 주차장
서울특별시 종로구 소격동 165번지,126.9798893,37.57854096,국립현대미술관 서울관 주차장
